"","id","CO2","N2O","CH4","R.CO2","R.N2O","R.CH"
"1",101,15.1060321163069,-4.54294145800833,-0.00326070834207975,0.974358050849409,0.115388312187621,0.507955800722339
"2",102,6.32508560319029,-1.48309243982668,-0.00148646020122003,0.97816604497051,0.018829488707512,0.164696421391232
"3",103,8.38464299107914,2.16899993441894,-0.00240191870531988,0.98237418620946,0.0393088986430456,0.350571312739373
"4",104,7.6563935234491,5.68992508485128,0.000831860392522084,0.973253084008379,0.283458384226136,0.0330320310604223
"5",201,8.48872218469934,-1.06490385968024,-0.00152508024736261,0.994859801387844,0.0306826098610928,0.223521774537111
"6",202,4.57482559460997,-4.90068293444204e-14,-0.00231621331148215,0.978226315778809,6.93728337401582e-28,0.285465495350191
"7",203,6.186095290132,1.32973840782187,-0.000407021245124582,0.954774656553201,0.0210993517907129,0.0298814304838388
"8",204,11.8146142584621,1.41218481740321,-0.00115497971854313,0.990720052457668,0.00756443892843816,0.325972551852222
"9",301,20.4687968657078,-3.38402782076135,-0.00442707137828061,0.994225367325124,0.192000183421933,0.726477470869704
"10",302,9.18431743058706,0.958912310953576,-0.00158880747812412,0.993915561190776,0.0537195562045745,0.373279090735703
"11",303,7.25779992711776,-2.83091416409049,-0.00386448171280084,0.980103038140679,0.165426003012054,0.491834225257423
"12",304,10.4636203409878,-4.02741427855969,-0.00280403409446295,0.954499457168001,0.43385286244711,0.428777672998336
"13",401,11.1983142274319,2.51395112079741,-0.00155911125357239,0.968745771298585,0.242976115650541,0.177312330255295
"14",402,13.4042393310756,12.065411645778,-0.000842468210634619,0.984750379897737,0.758825000512473,0.102556818181814
"15",403,10.0573184783859,-6.54033484323251,-0.00478138957227228,0.994045033244689,0.38173780245934,0.798258115597784
"16",404,9.59719473734849,-3.50114332757598,-0.00336869084575075,0.98417353363215,0.302931480765832,0.477838665619063
"17",501,8.58934577914278,-1.79526257988078,-0.00044057873812697,0.982470095043049,0.102199695894576,0.0294506989978972
"18",502,5.87160733912327,0.962357917532613,-0.0024387237676267,0.982184928242483,0.065504562317475,0.473413958516316
"19",503,2.98297733302036,2.20011263839628,-0.00153543214433529,0.9412008022391,0.103318722604884,0.487929416181722
"20",504,6.76441046209789,3.81566799682672,-0.0024853452461983,0.982143134729663,0.249886030809388,0.246788130283512
"21",601,7.06547473854179,11.4367756984824,-0.000228393660233081,0.987166738213536,0.785288967553737,0.00543728244426456
"22",602,13.1433580741949,9.19956282970712,-0.002128340742656,0.996449100101861,0.692479889310766,0.700000000000004
"23",603,4.71048910600154,3.54462591741628,-0.000158738285598599,0.954697444725475,0.10547910843546,0.00182284634080427
"24",604,5.24015988884459,5.42151922113803,-0.000594765196942068,0.97414522738929,0.37348060870136,0.0730023675922656
